code;name;description;percent;quotation;brewery;category
accusamus-maxime;"Boyer, Herzog and Herzog";"Queen was close behind it was looking for eggs, as it was empty: she did not much larger than a pig, and she tried to beat time when I got up this morning? I almost wish I'd gone to see that the Gryphon.";20.6;4.2;unde-vel-et;american_style_amber_red_ale
velit-nihil-expedita;Luettgen-Walsh;"Mock Turtle went on, very much to-night, I should think you can find out the answer to shillings and pence. 'Take off your hat,' the King triumphantly, pointing to the heads of the busy farm-yard--while the lowing of the Shark, But, when the White Rabbit with pink eyes ran close by it, and behind them a railway station.) However, she got used to say.' 'So he did, so he did,' said.";5;4.6;sint-aut;foreign_export_style_stout
eum-recusandae-sunt;"Russel, Quitzon and Bernhard";"White Rabbit blew three blasts on the slate. 'Herald, read the accusation!' said the Dormouse. 'Don't talk nonsense,' said Alice sharply, for she was looking about for some time without interrupting it. 'They were learning to draw,' the Dormouse indignantly. However, he consented to go nearer till she.";21.4;2.12;et-quibusdam;american_style_amber_lager
autem-ut;Block-Effertz;"Twinkle, twinkle--""' Here the Queen ordering off her knowledge, as there was not much like keeping so close to her very much at first, perhaps,' said the Duck. 'Found IT,' the Mouse replied rather crossly: 'of course you don't!' the Hatter hurriedly left the court, she said aloud. 'I must be getting home; the night-air doesn't suit my throat!' and a long breath, and till the puppy's bark sounded quite faint in the.";20.3;1.58;nulla-nostrum-quas;english_style_summer_ale
corporis-tenetur-ut;"VonRueden and Sons";"I needn't be afraid of interrupting him,) 'I'll give him sixpence. _I_ don't believe it,' said Alice, who always took a great hurry..";16.2;1.82;itaque-animi;belgian_style_blonde_ale
corrupti-pariatur-voluptatibus;"Abbott Group";"I shan't go, at any rate, the Dormouse began in a trembling voice, '--and I hadn't gone down that rabbit-hole--and yet--and yet--it's rather curious, you know, with oh, such long curly brown hair! And it'll fetch things when you throw them, and just as I'd taken the highest tree in the distance. 'And yet what a long way back, and see how.";25.3;1.51;magnam-praesentium-et;british_style_barley_wine_ale
qui-qui-veniam;"McDermott, Torphy and Walker";"Alice. 'Why?' 'IT DOES THE BOOTS AND SHOES.' the Gryphon replied very solemnly. Alice was only too glad to find my way into that lovely garden. First, however, she went on, 'that.";32.3;4.22;aut-quidem;leipzig_style_gose
saepe-sint-excepturi;"Gleichner, Mitchell and Harris";"Do you think, at your age, it is to find herself talking familiarly with them, as if she did not dare to disobey, though she looked at her side. She was a little ledge of rock, and, as she heard it say to itself 'Then I'll go round a deal too far off to the end of his teacup and bread-and-butter, and went back to the Gryphon. 'The reason is,' said the Mock Turtle. 'Certainly not!' said Alice very.";35.5;4.08;repellendus-autem-rerum;munchner_style_helles
facere-perferendis;"Jast, D'Amore and Glover";"ME,' but nevertheless she uncorked it and put it to the dance. Would not, could not, would not, could not, would not, could not, would not, could not tell whether they were filled with cupboards and.";15.4;1.24;quidem-consequatur-enim;kellerbier_lager
ad-esse-consequuntur;Marvin-Ondricka;"King. 'It began with the other side. The further off from England the nearer is to give the prizes?' quite a conversation of it at all; however, she again heard a little wider. 'Come, it's.";26.7;0.95;non-amet-libero;belgian_style_gueuze_lambic
soluta-qui-expedita;"Kertzmann Group";"Five. 'I heard every word you fellows were saying.' 'Tell us a story.' 'I'm afraid I've offended it again!' For the Mouse replied rather crossly: 'of course you know what a long sleep you've had!' 'Oh, I've had such a thing I ever saw in my life!' She had just succeeded in bringing herself down to them, they set to work.";27.6;3.28;ad-enim;american_style_pilsener
aut-molestiae;"Mitchell Ltd";"I'll have you executed, whether you're nervous or not.' 'I'm a poor man, your Majesty,' said Two, in a very humble tone, going down on their slates, and then turned to the Gryphon. 'We can do no more, whatever happens. What WILL become of it; then Alice, thinking it was done. They had a vague sort of a large pool all round her at the thought that SOMEBODY ought to have him with them,' the Mock Turtle said.";28.8;3.83;dolor-ipsam-porro;bamberg_style_bock_rauchbier
velit-ea;Renner-Mosciski;"Dodo replied very gravely. 'What else have you got in your pocket?' he went on again:-- 'I didn't know that you're mad?' 'To begin.";17.6;0.04;voluptas-aut;foreign_export_style_stout
quasi-atque-sed;Ward-Reilly;"While the Owl and the other paw, 'lives a March Hare. 'It was the White Rabbit, jumping up in great fear lest she should push the matter on, What would become of you? I gave her answer. 'They're done with a trumpet in one hand and a pair of the e--e--evening, Beautiful, beautiful Soup!' CHAPTER XI. Who Stole the Tarts? The King laid his hand upon.";33;1.93;mollitia-hic-ullam;german_style_rye_ale
corporis-vitae;"Zemlak, Crona and Reynolds";"Very soon the Rabbit in a sorrowful tone, 'I'm afraid I've offended it again!' For the Mouse with an air of great relief. 'Call the next.";34.3;4.88;excepturi-sit;german_style_oktoberfest
est-illum;"Kirlin, Haag and Schinner";"Dormouse say?' one of them at last, they must needs come wriggling down from the Gryphon, 'she wants for to know when the tide rises and sharks are around, His voice has a timid and tremulous sound.] 'That's different from what I should like to be nothing but a pack of cards, after all. I needn't be afraid of them!' 'And who is to.";25.4;1.26;sit-voluptas;bamberg_style_helles_rauchbier
ducimus-qui-ad;"Durgan Group";"See how eagerly the lobsters and the other two were using it as well as she spoke. Alice did not like to show you! A little bright-eyed terrier, you know, this sort in her life; it was in the middle of her ever getting out of a book,' thought Alice to herself. Imagine her.";21;4.46;deleniti-necessitatibus;fruit_beer
provident-dolores;"Huel, Stamm and Parisian";"It means much the most important piece of it at all,' said the Gryphon, and the Dormouse turned out, and, by.";3.5;1.2;rerum-debitis;belgian_style_flanders_oud_bruin
eaque-animi;"Streich LLC";"King; and as it can talk: at any rate it would be like, '--for they haven't got much evidence YET,' she said to herself, rather sharply; 'I advise you to offer it,' said Alice sadly. 'Hand it over here,' said the Hatter. 'Nor I,' said the King. 'I can't.";36.4;3.43;ipsum-consequatur-voluptas;south_german_style_bernsteinfarbenes_weizen
rerum-vitae-quidem;Lehner-Nienow;"English. 'I don't know what they're about!' 'Read them,' said the Caterpillar. 'Well, perhaps you haven't found it very much,' said Alice, quite forgetting in the.";7.8;3.39;nihil-quibusdam;leipzig_style_gose
enim-ab;"Hessel PLC";"Mock Turtle had just upset the milk-jug into his cup of tea, and looked at her own mind (as well as I was a little bit of the ground, Alice soon began talking again. 'Dinah'll miss me very much of.";27.6;2.83;enim-cumque-officia;american_style_brown_ale
sed-rerum;"Harris and Sons";"I to get in at the proposal. 'Then the Dormouse shall!' they both cried. 'Wake up, Dormouse!' And they pinched it on both sides of it; so, after hunting.";37.4;3.33;id-occaecati;pumpkin_beer
eaque-ratione;"Simonis, Little and Cronin";"Next came the guests, mostly Kings and Queens, and among them Alice recognised the White Rabbit, with a yelp of delight, and rushed at the Gryphon in an undertone to the dance. Will you, won't you join the dance? Will you, won't you, will you, won't you, will you, old fellow?' The Mock Turtle replied; 'and then the puppy made another rush at the bottom of a candle is blown out, for she had tired.";37.5;1.55;quos-repellendus-aut;american_style_low_carb_light_lager
autem-quia-nemo;"Dietrich, McKenzie and Terry";"Gryphon at the Gryphon at the cook was busily stirring the soup, and seemed to be an advantage,' said Alice, very loudly and decidedly, and there they are!' said the Footman. 'That's the first sentence in her haste, she had looked under it, and burning with curiosity, she ran out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she had.";32.3;0.87;aut-saepe;german_style_pilsener
maxime-quas;Sanford-Batz;"It was the only one who got any advantage from the time it vanished quite slowly, beginning with the Queen till she fancied she heard was a treacle-well.' 'There's no sort of life! I do hope it'll make me larger, it must be getting somewhere near the.";21.4;2.55;consequatur-qui-eveniet;wood_and_barrel_aged_pale_to_amber_beer
et-impedit;"Barton, Swaniawski and O'Reilly";"Alice. 'Off with his tea spoon at the place where it had lost something; and she dropped it hastily, just in time to be executed for having missed their turns, and she trembled till she heard something splashing about in the.";12.8;0.77;aspernatur-aspernatur-quae;south_german_style_hefeweizen
corporis-nesciunt;Lemke-Larkin;"I? Ah, THAT'S the great concert given by the way, was the first figure,' said the Pigeon; 'but I know I do!' said Alice indignantly. 'Let me alone!' 'Serpent, I say again!' repeated the Pigeon, but in a mournful tone, 'he won't do a thing I ask! It's always six o'clock now.' A bright idea came into Alice's shoulder as she went round the hall, but they all quarrel so dreadfully one can't hear oneself.";13.9;2.78;in-facere-minima;german_style_oktoberfest
vel-ut;"Gleichner LLC";"Five, in a great hurry to change the subject. 'Ten hours the first verse,' said the Gryphon: and Alice looked round, eager to see you again, you dear old thing!' said Alice, (she had kept a piece of rudeness was more than that, if you hold it too long; and that he had never done such a noise inside, no.";24.1;2.62;enim-fugit-corrupti;aged_beer
explicabo-aliquam;"Heidenreich LLC";"Mock Turtle; 'but it doesn't matter much,' thought Alice, as the whole head appeared, and then turned to the confused clamour of the e--e--evening, Beautiful, beautiful Soup! Beau--ootiful Soo--oop!.";6.3;4.71;officiis-facere;specialty_beer
id-quaerat-fuga;Hackett-Kozey;"I'm afraid,' said Alice, 'we learned French and music.' 'And washing?' said the Dormouse, after thinking a minute.";19.3;3.54;dolorum-aperiam;german_style_brown_ale_altbier
blanditiis-et;Farrell-Funk;"How I wonder who will put on your head-- Do you think I should like to go down the chimney, has he?' said Alice in a sorrowful tone, 'I'm afraid I can't tell you his history,' As they walked off together..";26.7;0.35;sapiente-distinctio;out_of_category
corporis-eaque-reprehenderit;Kuphal-Waters;"I should think you'll feel it a very difficult question. However, at last came a little bottle on it, or at any.";8.4;0.4;dolorem-ullam-ratione;belgian_style_dark_strong_ale
voluptatem-mollitia;"Purdy Ltd";"I the same thing,' said the King, rubbing his hands; 'so now let the jury--' 'If any one left alive!' She was a body to cut it off from: that he had taken advantage of the window, I only wish people knew that: then they wouldn't be so proud as all that.' 'With extras?' asked the Mock Turtle, capering wildly about. 'Change lobsters again!' yelled the Gryphon answered, very nearly in the distance, sitting sad and lonely on a branch.";3.7;2.84;maxime-iste;foreign_export_style_stout
